playerid,name,twit_followers_count,2021-22,followers per dollar
1628418,Thomas Bryant,32201,8666667,0.0037154998570961594
1630550,JT Thor,4528,1250000,0.0036224
1630691,Jamorko Pickett,1664,462629,0.0035968346126161567
1630172,Patrick Williams,26396,7422000,0.003556453786041498
1630250,Marko Simonovic,3225,925258,0.0034855143106030965
1628392,Isaiah Hartenstein,5969,1729217,0.0034518513292432357
1628384,OG Anunoby,54965,16071429,0.0034200443532432616
1626158,Richaun Holmes,35485,10384500,0.003417112041985652
1627884,Derrick Jones Jr,32775,9720900,0.003371601394932568
1630170,Devin Vassell,14183,4235160,0.003348869936436876
1629162,Jordan McLaughlin,6633,2000000,0.0033165
203473,Dewayne Dedmon,17408,5256308,0.0033118302808739517
1628998,Cody Martin,5800,1782621,0.003253636078560726
1630192,Zeke Nnaji,8104,2498760,0.0032432086314812146
1628978,Donte DiVincenzo,14857,4675830,0.0031774037978284067
203914,Gary Harris,65182,20932143,0.0031139668785943224
1630547,James Bouknight,12930,4154400,0.003112362796071635
1630557,Corey Kispert,10497,3383640,0.0031022803844380606
1629677,Luka Samanic,10358,3421709,0.0030271422847471833
1629637,Jaxson Hayes,16107,5348280,0.0030116224281451233
1628984,Devonte Graham,32927,11000000,0.0029933636363636365
1630165,Killian Hayes,16610,5572680,0.002980612559845532
203115,Will Barton,46397,15625000,0.002969408
1627747,Caris LeVert,51937,17500000,0.0029678285714285716
1629130,Duncan Robinson,46180,15650000,0.0029507987220447284
203114,Khris Middleton,104505,35500000,0.0029438028169014086
1629234,Drew Eubanks,5058,1762796,0.002869305353540625
1628386,Jarrett Allen,56722,20000000,0.0028361
1630583,Santi Aldama,5638,1994520,0.0028267452820728797
1630197,Aleksej Pokusevski,8678,3113160,0.0027875213609323004
1630549,DayRon Sharpe,5478,2009160,0.002726512572418324
1630188,Jalen Smith,12142,4458000,0.002723642889187977
203924,Jerami Grant,51514,20002500,0.0025753780777402827
1630563,Joshua Primo,10032,3946800,0.0025418060200668897
1627734,Domantas Sabonis,46460,18500000,0.0025113513513513514
1628971,Bruce Brown,11739,4736102,0.002478620604032599
1630539,Kai Jones,6720,2770560,0.0024255024255024253
1628425,Sterling Brown,7240,3000000,0.0024133333333333333
1628420,Monte Morris,20246,8449074,0.002396238925117711
1628470,Torrey Craig,11369,4878049,0.0023306448951209797
203920,Khem Birch,14680,6350000,0.0023118110236220474
1628021,David Nwaba,10706,4650000,0.0023023655913978493
1630249,Vit Krejci,2077,925258,0.0022447792939915136
1628415,Dillon Brooks,27245,12200000,0.0022331967213114756
203210,JaMychal Green,17653,8200000,0.0021528048780487803
1628427,Vlatko Cancar,3691,1782621,0.002070546683787524
1630530,Trey Murphy III,6195,3053760,0.0020286466519962277
1630532,Franz Wagner,9749,5007840,0.0019467474999201252
1629667,Jalen McDaniels,3435,1782621,0.0019269379189407057
203107,Tomas Satoransky,19239,10000000,0.0019239
1629631,DeAndre Hunter,14568,7775400,0.0018736013581294854
1629644,KZ Okpala,3318,1782621,0.0018613042256318084
1628467,Maxi Kleber,15826,8825000,0.001793314447592068
1628401,Derrick White,26543,15678571,0.001692947654476929
1629723,John Konchar,3387,2200000,0.0015395454545454545
203939,Dwight Powell,16115,11080125,0.0014544059746618382
1628381,John Collins,33239,23000000,0.0014451739130434782
1629026,Kenrich Williams,2889,2000000,0.0014445
202340,Avery Bradley,3547,2641691,0.0013427005656604046
202711,Bojan Bogdanovic,25005,18700000,0.0013371657754010695
1630240,Saben Lee,1936,1489065,0.0013001447216877706
1629001,DeAnthony Melton,10633,8805976,0.0012074754689315528
202397,Ish Smith,5360,4500000,0.001191111111111111
1627752,Taurean Prince,14706,13000000,0.0011312307692307691
1630180,Saddiq Bey,2929,2824320,0.001037063788805801
203490,Otto Porter Jr,2289,2389641,0.0009578844688386247
201571,DJ Augustin,4851,7000000,0.000693
1627763,Malcolm Brogdon,14743,21700000,0.0006794009216589861
1629650,Moses Brown,1076,1701593,0.0006323486286086038
1629640,Keldon Johnson,1183,2145720,0.0005513300896668717
1630230,Naji Marshall,673,1517981,0.0004433520577662039
1629048,Goga Bitadze,948,3098400,0.00030596436870642914
1627751,Jakob Poeltl,1654,8750000,0.00018902857142857142
203501,Tim Hardaway Jr,3550,21306816,0.00016661335039454042
201572,Brook Lopez,1524,13302325,0.00011456643857370798
203999,Nikola Jokic,561,31579390,1.776475099740685e-05
203471,Dennis Schroder,77,5890000,1.3073005093378608e-05
1629661,Cameron Johnson,0,4437000,0.0
1630177,Theo Maledon,0,2000000,0.0
1629645,Kevin Porter Jr,0,1782621,0.0
1628988,Aaron Holiday,0,3980551,0.0
203488,Mike Muscala,0,3500000,0.0
200782,PJ Tucker,0,7000000,0.0
1629622,Max Strus,0,1669178,0.0
1630271,Brodric Thomas,0,462629,0.0
1630607,Chris Smith,0,462629,0.0
1627761,DeAndre Bembry,0,1669178,0.0
1630184,Kira Lewis Jr,0,3822240,0.0
1627736,Malik Beasley,0,14491964,0.0
