playerid,name,twit_url,twit_handle,insta_url,insta_handle,twit_id,twit_followers_count,twit_tweet_count,2021-22,2022-23,2023-24,2024-25,2025-26,2026-27,Guaranteed
1630217,Desmond Bane,https://twitter.com/DBane0625,DBane0625,https://instagram.com/_dbane1,_dbane1,2214875666,22937,11274,2033160.0,2130240.0,3845083.0,0.0,0.0,0.0,4163400.0
1629633,Jarrett Culver,https://twitter.com/jarrettc08,jarrettc08,https://instagram.com/jarrett_23,jarrett_23,1317724028,34068,4623,6395160.0,8109063.0,0.0,0.0,0.0,0.0,6395160.0
1628415,Dillon Brooks,https://twitter.com/dillonbrooks24,dillonbrooks24,https://instagram.com/dillonbrooks24,dillonbrooks24,367771939,27245,5961,12200000.0,11400000.0,0.0,0.0,0.0,0.0,23600000.0
1629681,Killian Tillie,https://twitter.com/KillianTillie,KillianTillie,https://instagram.com/kill_till_33,kill_till_33,1315958215,9318,1300,2000000.0,2000000.0,0.0,0.0,0.0,0.0,4000000.0
1629723,John Konchar,https://twitter.com/konchjitty55,konchjitty55,https://instagram.com/konchar,konchar,1029634597133451264,3387,70,2197674.0,2302326.0,2406977.0,0.0,0.0,0.0,6906977.0
201567,Kevin Love,https://twitter.com/kevinlove,kevinlove,https://instagram.com/kevinlove,kevinlove,217160945,3181789,2939,31300000.0,28900000.0,0.0,0.0,0.0,0.0,60200000.0
1629164,Brandon Goodwin,https://twitter.com/goodysav,goodysav,https://instagram.com/toughlay,toughlay,4068844265,13194,5605,53176.0,0.0,0.0,0.0,0.0,0.0,99380.0
200765,Rajon Rondo,https://twitter.com/RajonRondo,RajonRondo,https://instagram.com/rajonrondo,rajonrondo,150846769,1625940,1071,5283382.0,0.0,0.0,0.0,0.0,0.0,7500000.0
1629012,Collin Sexton,https://twitter.com/CollinSexton02,CollinSexton02,https://instagram.com/collinyoungbull,collinyoungbull,1082311439694659584,50007,240,6349671.0,0.0,0.0,0.0,0.0,0.0,6349671.0
201937,Ricky Rubio,https://twitter.com/rickyrubio9,rickyrubio9,https://instagram.com/ruuufio,ruuufio,31451582,2877519,3843,17809524.0,0.0,0.0,0.0,0.0,0.0,17809524.0
1630596,Evan Mobley,https://twitter.com/evanmobley,evanmobley,https://instagram.com/evanmobley4,evanmobley4,3285850261,33008,2041,8075160.0,8478720.0,8882760.0,11227809.0,0.0,0.0,16553880.0
1630612,RJ Nembhard Jr.,https://twitter.com/RubeNembhard,RubeNembhard,,,746783520,3369,6994,53176.0,,,,,,
1630698,Kevin Pangos,https://twitter.com/KPangos,KPangos,https://instagram.com/kpangos,kpangos,257778707,31107,4070,1669178.0,1815677.0,0.0,0.0,0.0,0.0,1669178.0
1630205,Lamar Stevens,https://twitter.com/LamarStevens11,LamarStevens11,https://instagram.com/marstevens11,marstevens11,1022960174468931584,6375,1320,1517981.0,1782621.0,1930681.0,0.0,0.0,0.0,0.0
1629685,Dylan Windler,https://twitter.com/Dylan_Windler23,Dylan_Windler23,https://instagram.com/d_win23,d_win23,450775222,15697,463,2239200.0,4037278.0,0.0,0.0,0.0,0.0,6276478.0
1629636,Darius Garland,https://twitter.com/dariusgarland22,dariusgarland22,https://instagram.com/darius_garland,darius_garland,1367322109,46421,6808,7040880.0,8920795.0,0.0,0.0,0.0,0.0,15961675.0
1626224,Cedi Osman,https://twitter.com/cediosman,cediosman,https://instagram.com/cediosman,cediosman,3305641571,367499,948,8050000.0,7350000.0,6650000.0,0.0,0.0,0.0,15400000.0
202334,Ed Davis,https://twitter.com/eddavisXVII,eddavisXVII,https://instagram.com/eddavisxvii,eddavisxvii,54378594,59773,2213,2641691.0,0.0,0.0,0.0,0.0,0.0,0.0
1628374,Lauri Markkanen,https://twitter.com/MarkkanenLauri,MarkkanenLauri,https://instagram.com/laurimarkkanen,laurimarkkanen,935323794,105890,711,15690909.0,16475454.0,17259999.0,18044544.0,0.0,0.0,55426362.0
1628386,Jarrett Allen,https://twitter.com/_bigjayy_,_bigjayy_,https://instagram.com/_bigjayy_,_bigjayy_,424609982,56722,950,20000000.0,20000000.0,20000000.0,20000000.0,20000000.0,0.0,100000000.0
1629731,Dean Wade,https://twitter.com/deanwade3232,deanwade3232,https://instagram.com/deanwade32,deanwade32,1160657978,16352,5378,1782621.0,1930681.0,0.0,0.0,0.0,0.0,0.0
