playerid,name,br_url
201568,Danilo Gallinari,https://www.basketball-reference.com/players/g/gallida01.html
203476,Gorgui Dieng,https://www.basketball-reference.com/players/d/dienggo01.html
1629027,Trae Young,https://www.basketball-reference.com/players/y/youngtr01.html
1629631,De'Andre Hunter,https://www.basketball-reference.com/players/h/huntede01.html
203992,Bogdan Bogdanovic,https://www.basketball-reference.com/players/b/bogdabo01.html
203991,Clint Capela,https://www.basketball-reference.com/players/c/capelca01.html
1630168,Onyeka Okongwu,https://www.basketball-reference.com/players/o/okongon01.html
1628381,John Collins,https://www.basketball-reference.com/players/c/collijo01.html
1628995,Kevin Knox II,https://www.basketball-reference.com/players/k/knoxke01.html
1629022,Lonnie Walker IV,https://www.basketball-reference.com/players/w/walkelo01.html
1629640,Keldon Johnson,https://www.basketball-reference.com/players/j/johnske04.html
1628401,Derrick White,https://www.basketball-reference.com/players/w/whitede01.html
1627749,Dejounte Murray,https://www.basketball-reference.com/players/m/murrade01.html
1630563,Joshua Primo,https://www.basketball-reference.com/players/p/primojo01.html
1629234,Drew Eubanks,https://www.basketball-reference.com/players/e/eubandr01.html
1630580,Joe Wieskamp,https://www.basketball-reference.com/players/w/wieskjo01.html
203926,Doug McDermott,https://www.basketball-reference.com/players/m/mcderdo01.html
1629719,Devontae Cacok,https://www.basketball-reference.com/players/c/cacokde01.html
1628380,Zach Collins,https://www.basketball-reference.com/players/c/colliza01.html
1630170,Devin Vassell,https://www.basketball-reference.com/players/v/vassede01.html
1627751,Jakob Poeltl,https://www.basketball-reference.com/players/p/poeltja01.html
201152,Thaddeus Young,https://www.basketball-reference.com/players/y/youngth01.html
1628966,Keita Bates-Diop,https://www.basketball-reference.com/players/b/bateske01.html
1630200,Tre Jones,https://www.basketball-reference.com/players/j/jonestr01.html
1629111,Jock Landale,https://www.basketball-reference.com/players/l/landajo01.html
1627823,Juancho Hernangomez,https://www.basketball-reference.com/players/h/hernaju01.html
203484,Kentavious Caldwell-Pope,https://www.basketball-reference.com/players/c/caldwke01.html
203078,Bradley Beal,https://www.basketball-reference.com/players/b/bealbr01.html
1628988,Aaron Holiday,https://www.basketball-reference.com/players/h/holidaa01.html
1630216,Cassius Winston,https://www.basketball-reference.com/players/w/winstca01.html
1626149,Montrezl Harrell,https://www.basketball-reference.com/players/h/harremo01.html
1629060,Rui Hachimura,https://www.basketball-reference.com/players/h/hachiru01.html
1630166,Deni Avdija,https://www.basketball-reference.com/players/a/avdijde01.html
1628418,Thomas Bryant,https://www.basketball-reference.com/players/b/bryanth01.html
1630225,Isaiah Todd,https://www.basketball-reference.com/players/t/toddis01.html
1630264,Anthony Gill,https://www.basketball-reference.com/players/g/gillan01.html
1630555,Joel Ayayi,https://www.basketball-reference.com/players/a/ayayijo01.html
203526,Raul Neto,https://www.basketball-reference.com/players/n/netora01.html
1629655,Daniel Gafford,https://www.basketball-reference.com/players/g/gaffoda01.html
1630557,Corey Kispert,https://www.basketball-reference.com/players/k/kispeco01.html
203915,Spencer Dinwiddie,https://www.basketball-reference.com/players/d/dinwisp01.html
1628398,Kyle Kuzma,https://www.basketball-reference.com/players/k/kuzmaky01.html
202722,Davis Bertans,https://www.basketball-reference.com/players/b/bertada01.html
1630167,Obi Toppin,https://www.basketball-reference.com/players/t/toppiob01.html
1630540,Miles McBride,https://www.basketball-reference.com/players/m/mcbrimi01.html
203457,Nerlens Noel,https://www.basketball-reference.com/players/n/noelne01.html
201565,Derrick Rose,https://www.basketball-reference.com/players/r/rosede01.html
1630193,Immanuel Quickley,https://www.basketball-reference.com/players/q/quickim01.html
1629656,Quentin Grimes,https://www.basketball-reference.com/players/g/grimequ01.html
202689,Kemba Walker,https://www.basketball-reference.com/players/w/walkeke02.html
1629628,RJ Barrett,https://www.basketball-reference.com/players/b/barrerj01.html
203095,Evan Fournier,https://www.basketball-reference.com/players/f/fournev01.html
202692,Alec Burks,https://www.basketball-reference.com/players/b/burksal01.html
1629629,Cam Reddish,https://www.basketball-reference.com/players/r/reddica01.html
