playerid,twit_id,twit_data
202704,266819783,<generator object Paginator.flatten at 0x7ff3b6703b30>
202695,2584213500,<generator object Paginator.flatten at 0x7ff3b6703ba0>
1630527,3426779775,<generator object Paginator.flatten at 0x7ff3b6703c10>
1628379,1708510310,<generator object Paginator.flatten at 0x7ff3b6703c80>
1629599,532817694,<generator object Paginator.flatten at 0x7ff3b6703cf0>
202694,143203547,<generator object Paginator.flatten at 0x7ff3b6703d60>
201586,80480330,<generator object Paginator.flatten at 0x7ff3b6703dd0>
202339,98576365,<generator object Paginator.flatten at 0x7ff3b6703e40>
202331,53643297,<generator object Paginator.flatten at 0x7ff3b6703eb0>
1629611,920109486899105792,<generator object Paginator.flatten at 0x7ff3b6703f20>
1630554,1488144572,<generator object Paginator.flatten at 0x7ff3b6703f90>
1626159,230278157,<generator object Paginator.flatten at 0x7ff3b6710040>
201587,164326175,<generator object Paginator.flatten at 0x7ff3b67100b0>
1627826,3081680043,<generator object Paginator.flatten at 0x7ff3b6710120>
1630553,4093936519,<generator object Paginator.flatten at 0x7ff3b6710190>
1628392,3855639340,<generator object Paginator.flatten at 0x7ff3b6710200>
1628970,276259411,<generator object Paginator.flatten at 0x7ff3b6710270>
1630163,1553895072,<generator object Paginator.flatten at 0x7ff3b67102e0>
1626179,188120286,<generator object Paginator.flatten at 0x7ff3b6710350>
1630547,3308384151,<generator object Paginator.flatten at 0x7ff3b67103c0>
1629667,292728194,<generator object Paginator.flatten at 0x7ff3b6710430>
202397,925030084276301830,<generator object Paginator.flatten at 0x7ff3b67104a0>
1628998,725760931616165889,<generator object Paginator.flatten at 0x7ff3b6710510>
1626162,273080747,<generator object Paginator.flatten at 0x7ff3b6710580>
1630208,2459069099,<generator object Paginator.flatten at 0x7ff3b67105f0>
1630575,2993048559,<generator object Paginator.flatten at 0x7ff3b6710660>
202330,46704247,<generator object Paginator.flatten at 0x7ff3b67106d0>
1630550,705482820064415744,<generator object Paginator.flatten at 0x7ff3b6710740>
1630176,3460451776,<generator object Paginator.flatten at 0x7ff3b67107b0>
1630539,2296356569,<generator object Paginator.flatten at 0x7ff3b6710820>
203486,190059955,<generator object Paginator.flatten at 0x7ff3b6710890>
1629023,898070401,<generator object Paginator.flatten at 0x7ff3b6710900>
1629083,2733285965,<generator object Paginator.flatten at 0x7ff3b6710970>
1626156,348288809,<generator object Paginator.flatten at 0x7ff3b67109e0>
1630162,889153467578798080,<generator object Paginator.flatten at 0x7ff3b6710a50>
1630183,3650897294,<generator object Paginator.flatten at 0x7ff3b6710ac0>
1629669,1734299208,<generator object Paginator.flatten at 0x7ff3b6710b30>
1627736,0,
1629162,214789418,<generator object Paginator.flatten at 0x7ff3b6710ba0>
1629020,320758559,<generator object Paginator.flatten at 0x7ff3b6710c10>
1630195,883774444656898049,<generator object Paginator.flatten at 0x7ff3b6710c80>
1627774,560500094,<generator object Paginator.flatten at 0x7ff3b6710cf0>
1629675,2989872975,<generator object Paginator.flatten at 0x7ff3b6710d60>
1627752,704143071248658432,<generator object Paginator.flatten at 0x7ff3b6710dd0>
1630233,3207459490,<generator object Paginator.flatten at 0x7ff3b6710e40>
1629006,309810799,<generator object Paginator.flatten at 0x7ff3b6710eb0>
201976,92337777,<generator object Paginator.flatten at 0x7ff3b6710f20>
1630593,1069126440,<generator object Paginator.flatten at 0x7ff3b6710f90>
1626157,73495696,<generator object Paginator.flatten at 0x7ff3b6719040>
201609,356859571,<generator object Paginator.flatten at 0x7ff3b67190b0>
1628384,330590874,<generator object Paginator.flatten at 0x7ff3b6719120>
1630567,3545045053,<generator object Paginator.flatten at 0x7ff3b6719190>
1630173,3422695780,<generator object Paginator.flatten at 0x7ff3b6719200>
1630551,888390873196752897,<generator object Paginator.flatten at 0x7ff3b6719270>
1630525,571299510,<generator object Paginator.flatten at 0x7ff3b67192e0>
1629004,2766430999,<generator object Paginator.flatten at 0x7ff3b6719350>
1629067,822469101620723717,<generator object Paginator.flatten at 0x7ff3b67193c0>
1629139,457459276,<generator object Paginator.flatten at 0x7ff3b6719430>
1630201,889276999,<generator object Paginator.flatten at 0x7ff3b67194a0>
1627832,339241519,<generator object Paginator.flatten at 0x7ff3b6719510>
203920,141090757,<generator object Paginator.flatten at 0x7ff3b6719580>
1628449,852206745070051328,<generator object Paginator.flatten at 0x7ff3b67195f0>
1629018,1306089967,<generator object Paginator.flatten at 0x7ff3b6719660>
1627783,1546561830,<generator object Paginator.flatten at 0x7ff3b67196d0>
1630625,1116493218512764928,<generator object Paginator.flatten at 0x7ff3b6719740>
201566,35982046,<generator object Paginator.flatten at 0x7ff3b67197b0>
2772,69500255,<generator object Paginator.flatten at 0x7ff3b6719820>
201961,372439064,<generator object Paginator.flatten at 0x7ff3b6719890>
203076,159113258,<generator object Paginator.flatten at 0x7ff3b6719900>
1629659,2272672902,<generator object Paginator.flatten at 0x7ff3b6719970>
2544,23083404,<generator object Paginator.flatten at 0x7ff3b67199e0>
2546,42384760,<generator object Paginator.flatten at 0x7ff3b6719a50>
203145,29356531,<generator object Paginator.flatten at 0x7ff3b6719ac0>
201599,47506568,<generator object Paginator.flatten at 0x7ff3b6719b30>
1628370,552289108,<generator object Paginator.flatten at 0x7ff3b6719ba0>
1629134,108147336,<generator object Paginator.flatten at 0x7ff3b6719c10>
1626169,1323936524,<generator object Paginator.flatten at 0x7ff3b6719c80>
1630559,0,
202340,4839997276,<generator object Paginator.flatten at 0x7ff3b6719cf0>
2730,16812787,<generator object Paginator.flatten at 0x7ff3b6719d60>
1630222,298890611,<generator object Paginator.flatten at 0x7ff3b6719dd0>
1629635,3327978010,<generator object Paginator.flatten at 0x7ff3b6719e40>
1628369,448562247,<generator object Paginator.flatten at 0x7ff3b6719eb0>
1628408,498470505,<generator object Paginator.flatten at 0x7ff3b6719f20>
1627759,419181069,<generator object Paginator.flatten at 0x7ff3b6719f90>
1626196,61288678,<generator object Paginator.flatten at 0x7ff3b6aca040>
1629641,3371792158,<generator object Paginator.flatten at 0x7ff3b6aca0b0>
1629626,186981881,<generator object Paginator.flatten at 0x7ff3b6aca120>
1630202,533340704,<generator object Paginator.flatten at 0x7ff3b6aca190>
1629684,1005432853,<generator object Paginator.flatten at 0x7ff3b6aca200>
202683,302111485,<generator object Paginator.flatten at 0x7ff3b6aca270>
1630174,1328824678807465987,<generator object Paginator.flatten at 0x7ff3b6aca2e0>
1628981,3371781221,<generator object Paginator.flatten at 0x7ff3b6aca350>
1630573,594908495,<generator object Paginator.flatten at 0x7ff3b6aca3c0>
203935,543954514,<generator object Paginator.flatten at 0x7ff3b6aca430>
201143,78193153,<generator object Paginator.flatten at 0x7ff3b6aca4a0>
1629057,301680035,<generator object Paginator.flatten at 0x7ff3b6aca510>
203471,1171330003629273088,<generator object Paginator.flatten at 0x7ff3b6aca580>
1630271,0,
203081,267425142,<generator object Paginator.flatten at 0x7ff3b6aca5f0>
1629014,236155682,<generator object Paginator.flatten at 0x7ff3b6aca660>
1630570,2309475188,<generator object Paginator.flatten at 0x7ff3b6aca6d0>
203468,92903456,<generator object Paginator.flatten at 0x7ff3b6aca740>
1630535,811761399647059968,<generator object Paginator.flatten at 0x7ff3b6aca7b0>
1629642,2516401399,<generator object Paginator.flatten at 0x7ff3b6aca820>
1628372,311623066,<generator object Paginator.flatten at 0x7ff3b6aca890>
1626204,191165672,<generator object Paginator.flatten at 0x7ff3b6aca900>
1629604,2399027815,<generator object Paginator.flatten at 0x7ff3b6aca970>
203503,1413547332,<generator object Paginator.flatten at 0x7ff3b6aca9e0>
1629833,359629667,<generator object Paginator.flatten at 0x7ff3b6acaa50>
203463,364970961,<generator object Paginator.flatten at 0x7ff3b6acaac0>
1626181,155674676,<generator object Paginator.flatten at 0x7ff3b6acab30>
203994,487962301,<generator object Paginator.flatten at 0x7ff3b6acaba0>
203496,233810051,<generator object Paginator.flatten at 0x7ff3b6acac10>
203469,259030794,<generator object Paginator.flatten at 0x7ff3b6acac80>
