playerid,name,twit_url,twit_handle,insta_url,insta_handle
1627736,Malik Beasley,https://twitter.com/Mb5Malik,Mb5Malik,https://instagram.com/mbeasy5,mbeasy5
1629162,Jordan McLaughlin,https://twitter.com/itsmclaughlin11,itsmclaughlin11,https://instagram.com/itsmclaughlin11,itsmclaughlin11
1629020,Jarred Vanderbilt,https://twitter.com/JVando,JVando,https://instagram.com/jvando_,jvando_
1630195,Leandro Bolmaro,https://twitter.com/BolmaroLeandro,BolmaroLeandro,https://instagram.com/leandro_bolmaro,leandro_bolmaro
1627774,Jake Layman,https://twitter.com/JLayman10,JLayman10,https://instagram.com/j_lay_lay,j_lay_lay
1629675,Naz Reid,https://twitter.com/NazReid,NazReid,https://instagram.com/hollywood.naz,hollywood.naz
1627752,Taurean Prince,https://twitter.com/taureanprince,taureanprince,https://instagram.com/taureanprince,taureanprince
1630233,Nathan Knight,https://twitter.com/nateknght,nateknght,https://instagram.com/nateknght,nateknght
1629006,Josh Okogie,https://twitter.com/CallMe_NonStop,CallMe_NonStop,https://instagram.com/callme_nonstop,callme_nonstop
201976,Patrick Beverley,https://twitter.com/patbev21,patbev21,https://instagram.com/patbev21,patbev21
1630593,McKinley Wright IV,https://twitter.com/kin_wright25,kin_wright25,https://instagram.com/showtime_kin25,showtime_kin25
1626157,Karl-Anthony Towns,https://twitter.com/KarlTowns,KarlTowns,https://instagram.com/karltowns,karltowns
201609,Goran Dragic,https://twitter.com/Goran_Dragic,Goran_Dragic,https://instagram.com/the_1_dragon,the_1_dragon
